,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
316,Suzuki,Chennai,473899,30467, Petrol ,2017,Maruti
317,Venue,Chennai,855299,1954, Petrol ,2019,Hyundai
318,Santro,Chennai,540299,35220, Petrol ,2019,Hyundai
319,Elite,Chennai,642899,75876, Petrol ,2016,Hyundai
320,Suzuki,Chennai,442299,27020, Petrol ,2021,Maruti
321,Triber,Chennai,725399,13739, Petrol ,2019,Renault
322,Suzuki,Chennai,558299,21544, Petrol ,2019,Maruti
323,Suzuki,Chennai,354299,13816, Petrol ,2016,Maruti
324,Elite,Chennai,673599,23817, Petrol ,2016,Hyundai
325,Grand,Chennai,525099,60985, Petrol ,2017,Hyundai
326,Verna,Chennai,525000,80000, Diesel,2012,Hyundai
327,Polo,Chennai,675000,30123, Petrol,2018,Volkswagen
328,Kwid,Chennai,325000,67000, Petrol,2016,Renault
329,Triber,Chennai,645000,26123, Petrol,2020,Renault
330,Suzuki,Chennai,785000,60123, Petrol,2017,Maruti
331,TUV300,Chennai,690000,52123, Diesel,2016,Mahindra
332,Suzuki,Chennai,425000,11123, Petrol,2018,Maruti
333,Elite,Chennai,645000,41233, Petrol,2019,Hyundai
334,Suzuki,Chennai,529699,50141, Petrol ,2016,Maruti
335,Suzuki,Bangalore,1081899,86033, Diesel,2018,Maruti
336,Linea,Kolkata,256000,30000, Petrol ,2012,Fiat
337,City,Bangalore,290000,86924, Petrol,2008,Honda
338,Polo,Bangalore,735000,68870, Petrol,2016,Volkswagen
